id,p1_poke1,p1_poke2,p1_poke3,p1_poke4,p1_poke5,p1_poke6,p2_poke1,p2_poke2,p2_poke3,p2_poke4,p2_poke5,p2_poke6,p1_choice,p2_choice
2850,Rotom-Wash,Tyranitar,Landorus-Therian,Keldeo,Ferrothorn,Dragonite,Xatu,Mew,Whimsicott,Kyurem-Black,Salamence,Dragonite,Tyranitar,Mew
2851,Celebi,Tyranitar,Skarmory,Blissey,Milotic,Donphan,Excadrill,Tyranitar,Latias,Heatran,Gliscor,Ferrothorn,Skarmory,Gliscor
2852,Excadrill,Celebi,Tyranitar,Landorus-Therian,Milotic,Cresselia,Sigilyph,Gengar,Lucario,Tyranitar,Skarmory,Gastrodon,Landorus-Therian,Skarmory
2853,Tyranitar,Skarmory,Gastrodon,Latias,Reuniclus,Heatran,Gengar,Rotom-Wash,Volcarona,Landorus-Therian,Starmie,Dragonite,Tyranitar,Starmie
2854,Tyranitar,Skarmory,Gastrodon,Gliscor,Reuniclus,Alakazam,Scizor,Conkeldurr,Jirachi,Keldeo,Politoed,Donphan,Skarmory,Politoed
2855,Haxorus,Magnezone,Politoed,Mamoswine,Garchomp,Latios,Abomasnow,Kyurem-Black,Jirachi,Starmie,Garchomp,Latios,Magnezone,Latios
2856,Bronzong,Gallade,Conkeldurr,Reuniclus,Dragonite,Jellicent,Omastar,Terrakion,Blissey,Landorus-Therian,Heatran,Tentacruel,Bronzong,Landorus-Therian
2857,Tyranitar,Reuniclus,Landorus-Therian,Alakazam,Ferrothorn,Latios,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Landorus-Therian,Garchomp
2858,Scizor,Skarmory,Volcarona,Landorus-Therian,Starmie,Cloyster,Excadrill,Hippowdon,Skarmory,Blissey,Reuniclus,Jellicent,Skarmory,Jellicent
2859,Kyurem,Abomasnow,Jirachi,Landorus-Therian,Tentacruel,Latios,Scizor,Kyurem-Black,Magnezone,Starmie,Garchomp,Latios,Landorus-Therian,Scizor
2860,Scizor,Tyranitar,Skarmory,Mienshao,Gliscor,Amoonguss,Tyranitar,Skarmory,Landorus-Therian,Heatran,Alakazam,Jellicent,Mienshao,Heatran
2861,Excadrill,Gengar,Golurk,Terrakion,Gyarados,Dragonite,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Gengar,Rotom-Wash
2862,Breloom,Scizor,Tyranitar,Landorus-Therian,Ferrothorn,Slowbro,Scizor,Celebi,Terrakion,Meloetta,Starmie,Politoed,Ferrothorn,Celebi
2863,Thundurus-Therian,Ferrothorn,Keldeo,Tentacruel,Politoed,Latios,Xatu,Excadrill,Zapdos,Scizor,Ninetales,Heatran,Keldeo,Ninetales
2864,Chansey,Ferrothorn,Jirachi,Gliscor,Tentacruel,Politoed,Sawsbuck,Forretress,Ninetales,Chandelure,Cresselia,Garchomp,Ferrothorn,Garchomp
2865,Ferrothorn,Gyarados,Jirachi,Latias,Tentacruel,Politoed,Thundurus-Therian,Celebi,Tornadus,Landorus-Therian,Keldeo,Politoed,Ferrothorn,Landorus-Therian
2866,Forretress,Quagsire,Chansey,Ninetales,Heatran,Cresselia,Kyurem-Black,Salamence,Magnezone,Mamoswine,Garchomp,Latios,Ninetales,Garchomp
2867,Quagsire,Tangrowth,Jirachi,Latias,Tentacruel,Politoed,Scizor,Tyranitar,Eelektross,Alakazam,Garchomp,Jellicent,Tangrowth,Jellicent
2868,Gengar,Hydreigon,Metagross,Terrakion,Gyarados,Landorus-Therian,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Hydreigon,Jirachi
2869,Scizor,Rotom-Wash,Tyranitar,Reuniclus,Landorus-Therian,Dragonite,Porygon-Z,Scizor,Swellow,Chandelure,Cresselia,Yanmega,Tyranitar,Yanmega
2870,Excadrill,Articuno,Swampert,Alakazam,Tentacruel,Miltank,Celebi,Skarmory,Salamence,Magnezone,Donphan,Mandibuzz,Articuno,Mandibuzz
2871,Scizor,Rotom-Wash,Tyranitar,Reuniclus,Landorus-Therian,Dragonite,Ferrothorn,Jolteon,Tentacruel,Politoed,Keldeo-Resolute,Latios,Landorus-Therian,Ferrothorn
2872,Scizor,Toxicroak,Rotom-Wash,Jirachi,Starmie,Politoed,Tyranitar,Salamence,Mienshao,Landorus-Therian,Starmie,Ferrothorn,Scizor,Salamence
2873,Forretress,Hippowdon,Dusclops,Vaporeon,Blissey,Latias,Conkeldurr,Swampert,Skarmory,Salamence,Espeon,Latios,Vaporeon,Espeon
2874,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Forretress,Tyranitar,Dusclops,Landorus-Therian,Heatran,Latios,Hippowdon,Forretress
2875,Forretress,Venusaur,Ninetales,Victini,Dugtrio,Wobbuffet,Gengar,Chansey,Ferrothorn,Gyarados,Tornadus,Politoed,Victini,Politoed
2876,Ludicolo,Skarmory,Jirachi,Gliscor,Tentacruel,Politoed,Gastrodon-East,Breloom,Mew,Tyranitar,Skarmory,Garchomp,Gliscor,Breloom
2877,Excadrill,Breloom,Tyranitar,Skarmory,Salamence,Jellicent,Thundurus-Therian,Ferrothorn,Jirachi,Landorus-Therian,Keldeo,Politoed,Tyranitar,Politoed
2878,Breloom,Jirachi,Tornadus,Starmie,Politoed,Latios,Breloom,Rotom-Wash,Kyurem-Black,Magnezone,Infernape,Espeon,Starmie,Infernape
2879,Tyranitar,Jirachi,Landorus-Therian,Garchomp,Keldeo-Resolute,Latios,Tyranitar,Skarmory,Hydreigon,Terrakion,Alakazam,Amoonguss,Jirachi,Skarmory
2880,Forretress,Charizard,Ninetales,Gyarados,Cloyster,Latios,Gothitelle,Forretress,Abomasnow,Weavile,Blissey,Landorus-Therian,Cloyster,Abomasnow
2881,Thundurus-Therian,Excadrill,Tyranitar,Terrakion,Amoonguss,Slowbro,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Thundurus-Therian,Ferrothorn
2882,Rotom-Wash,Tyranitar,Magnezone,Ferrothorn,Garchomp,Latios,Tyranitar,Magnezone,Latias,Landorus-Therian,Amoonguss,Latios,Rotom-Wash,Amoonguss
2883,Kyurem,Xatu,Abomasnow,Terrakion,Landorus-Therian,Heatran,Ferrothorn,Kyurem-Black,Jirachi,Tornadus,Starmie,Politoed,Landorus-Therian,Jirachi
2884,Gothitelle,Xatu,Weavile,Volcarona,Ninetales,Dugtrio,Magnezone,Heatran,Gliscor,Ferrothorn,Dragonite,Jellicent,Dugtrio,Gliscor
2885,Kyurem,Scizor,Mew,Landorus-Therian,Tentacruel,Politoed,Tyranitar,Magnezone,Keldeo,Mamoswine,Garchomp,Latios,Mew,Mamoswine
2886,Gothitelle,Chansey,Ferrothorn,Skarmory,Tentacruel,Politoed,Mew,Tyranitar,Jirachi,Landorus-Therian,Keldeo-Resolute,Latios,Politoed,Tyranitar
2887,Excadrill,Tyranitar,Seismitoad,Gliscor,Ferrothorn,Latios,Moltres,Thundurus-Therian,Kyurem-Black,Ferrothorn,Tentacruel,Politoed,Latios,Ferrothorn
2888,Sigilyph,Gengar,Lucario,Tyranitar,Skarmory,Gastrodon,Excadrill,Tyranitar,Keldeo,Gliscor,Amoonguss,Mamoswine,Skarmory,Keldeo
2889,Skarmory,Jirachi,Latios,Alakazam,Garchomp,Jellicent,Thundurus-Therian,Ferrothorn,Blastoise,Politoed,Garchomp,Latios,Skarmory,Garchomp
2890,Scizor,Conkeldurr,Ninetales,Blissey,Starmie,Dragonite,Scizor,Suicune,Blissey,Zoroark,Alakazam,Garchomp,Conkeldurr,Garchomp
2891,Tyranitar,Keldeo,Magnezone,Landorus-Therian,Gliscor,Latios,Omastar,Volcarona,Alakazam,Heracross,Yanmega,Latios,Landorus-Therian,Omastar
2892,Gengar,Umbreon,Kyurem-Black,Gyarados,Mamoswine,Dragonite,Toxicroak,Gyarados,Politoed,Jolteon,Tentacruel,Ferrothorn,Dragonite,Politoed
2893,Bronzong,Sableye,Skarmory,Tornadus,Liepard,Amoonguss,Scizor,Rotom-Wash,Tyranitar,Keldeo,Garchomp,Latios,Skarmory,Keldeo
2894,Breloom,Scizor,Rotom-Wash,Jirachi,Politoed,Latios,Kyurem-Black,Hydreigon,Gyarados,Ferrothorn,Garchomp,Jellicent,Rotom-Wash,Kyurem-Black
2895,Excadrill,Lucario,Tyranitar,Eelektross,Sceptile,Slowbro,Excadrill,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Eelektross,Tyranitar
2896,Breloom,Ferrothorn,Gyarados,Politoed,Donphan,Dragonite,Forretress,Scizor,Kyurem-Black,Magnezone,Mamoswine,Latios,Breloom,Forretress
2897,Togekiss,Forretress,Breloom,Weavile,Heatran,Keldeo,Scizor,Rotom-Wash,Salamence,Terrakion,Jirachi,Latios,Breloom,Jirachi
2898,Forretress,Darmanitan,Ninetales,Victini,Infernape,Latios,Excadrill,Rotom-Wash,Celebi,Tyranitar,Terrakion,Landorus-Therian,Infernape,Tyranitar
2899,Forretress,Darmanitan,Ninetales,Raikou,Victreebel,Shiftry,Gengar,Scizor,Skarmory,Starmie,Mamoswine,Dragonite,Ninetales,Dragonite
2900,Forretress,Hippowdon,Umbreon,Kyurem-Black,Magnezone,Jellicent,Ferrothorn,Jirachi,Blissey,Politoed,Alomomola,Latios,Magnezone,Politoed
2901,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Salamence,Magnezone,Jirachi,Latias,Kingdra,Mamoswine,Rotom-Wash,Jirachi
2902,Ferrothorn,Salamence,Magnezone,Alakazam,Politoed,Keldeo-Resolute,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Garchomp,Keldeo-Resolute,Keldeo-Resolute,Rotom-Wash
2903,Scizor,Latias,Landorus-Therian,Alakazam,Infernape,Donphan,Breloom,Rotom-Wash,Darmanitan,Mamoswine,Yanmega,Donphan,Latias,Donphan
2904,Scizor,Salamence,Ninetales,Gyarados,Amoonguss,Donphan,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Ninetales,Tyranitar
2905,Thundurus-Therian,Kyurem-Black,Jirachi,Keldeo,Politoed,Donphan,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Thundurus-Therian,Vaporeon
2906,Excadrill,Hippowdon,Tyranitar,Terrakion,Reuniclus,Garchomp,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Garchomp,Landorus-Therian
2907,Kyurem-Black,Terrakion,Jirachi,Tornadus,Starmie,Politoed,Quagsire,Chansey,Ferrothorn,Tentacruel,Politoed,Dragonite,Politoed,Politoed
2908,Tangrowth,Skarmory,Gastrodon,Jirachi,Tentacruel,Politoed,Volcarona,Jirachi,Starmie,Garchomp,Keldeo-Resolute,Dragonite,Politoed,Keldeo-Resolute
2909,Thundurus-Therian,Excadrill,Tyranitar,Ferrothorn,Politoed,Latios,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Jellicent,Politoed,Tyranitar
2910,Excadrill,Rotom-Wash,Ferrothorn,Vaporeon,Tornadus,Politoed,Ferrothorn,Azumarill,Volcarona,Starmie,Politoed,Latios,Tornadus,Latios
2911,Scizor,Rotom-Wash,Terrakion,Heracross,Espeon,Latios,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Latios,Espeon,Landorus-Therian
2912,Excadrill,Rotom-Wash,Celebi,Tyranitar,Landorus-Therian,Garchomp,Forretress,Breloom,Volcarona,Jirachi,Seismitoad,Politoed,Celebi,Volcarona
2913,Xatu,Darmanitan,Ninetales,Volcarona,Victini,Gliscor,Excadrill,Breloom,Ninetales,Landorus-Therian,Heatran,Latios,Darmanitan,Landorus-Therian
2914,Politoed,Keldeo,Starmie,Ferrothorn,Garchomp,Latios,Conkeldurr,Magnezone,Milotic,Ferrothorn,Garchomp,Espeon,Politoed,Magnezone
2915,Scizor,Toxicroak,Terrakion,Volcarona,Garchomp,Dragonite,Celebi,Tyranitar,Landorus-Therian,Heatran,Garchomp,Latios,Terrakion,Landorus-Therian
2916,Hippowdon,Bronzong,Skarmory,Latias,Reuniclus,Clefable,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Clefable,Forretress
2917,Kyurem-Black,Salamence,Magnezone,Jirachi,Garchomp,Latios,Thundurus-Therian,Scizor,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Jirachi,Politoed
2918,Excadrill,Breloom,Gengar,Volcarona,Azelf,Latios,Scizor,Volcarona,Starmie,Mamoswine,Garchomp,Cloyster,Azelf,Scizor
2919,Excadrill,Rotom-Wash,Volcarona,Gyarados,Reuniclus,Infernape,Excadrill,Rotom-Wash,Tyranitar,Latias,Landorus-Therian,Heatran,Rotom-Wash,Landorus-Therian
2920,Tyranitar,Landorus-Therian,Reuniclus,Ferrothorn,Keldeo-Resolute,Latios,Thundurus-Therian,Gyarados,Politoed,Starmie,Ferrothorn,Latios,Latios,Politoed
2921,Scizor,Tyranitar,Landorus-Therian,Reuniclus,Ferrothorn,Slowbro,Kyurem,Abomasnow,Landorus-Therian,Starmie,Politoed,Keldeo-Resolute,Landorus-Therian,Landorus-Therian
2922,Tyranitar,Magnezone,Terrakion,Gliscor,Ferrothorn,Latios,Gastrodon-East,Tyranitar,Landorus-Therian,Heatran,Alakazam,Garchomp,Latios,Garchomp
2923,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Ferrothorn,Kyurem-Black,Gyarados,Tentacruel,Politoed,Latios,Jirachi,Kyurem-Black
2924,Gengar,Skarmory,Gastrodon,Latias,Heatran,Latios,Hippowdon,Gengar,Hydreigon,Starmie,Ferrothorn,Dragonite,Latios,Hydreigon
2925,Hippowdon,Rotom-Wash,Conkeldurr,Heatran,Alakazam,Starmie,Thundurus-Therian,Toxicroak,Ferrothorn,Tornadus,Starmie,Politoed,Rotom-Wash,Ferrothorn
2926,Gengar,Scizor,Rotom-Wash,Skarmory,Alakazam,Dragonite,Gastrodon-East,Excadrill,Kyurem-Black,Heatran,Heracross,Espeon,Skarmory,Kyurem-Black
2927,Scizor,Rotom-Wash,Tyranitar,Alakazam,Garchomp,Jellicent,Thundurus-Therian,Forretress,Celebi,Terrakion,Espeon,Cloyster,Rotom-Wash,Forretress
2928,Ferrothorn,Jirachi,Jolteon,Tentacruel,Politoed,Dragonite,Dragonite,Tornadus,Starmie,Ferrothorn,Keldeo-Resolute,Cloyster,Politoed,Starmie
2929,Forretress,Darmanitan,Ninetales,Raikou,Victreebel,Shiftry,Chansey,Umbreon,Skarmory,Latias,Tentacruel,Politoed,Shiftry,Latias
2930,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Starmie,Volcarona,Jirachi,Tornadus,Tentacruel,Politoed,Kyurem-Black,Jirachi
2931,Ferrothorn,Volcarona,Starmie,Politoed,Keldeo-Resolute,Latios,Haxorus,Kyurem-Black,Salamence,Magnezone,Garchomp,Latios,Ferrothorn,Kyurem-Black
2932,Breloom,Gengar,Scizor,Skarmory,Reuniclus,Kingdra,Ferrothorn,Gyarados,Starmie,Politoed,Garchomp,Latios,Skarmory,Gyarados
2933,Scizor,Conkeldurr,Salamence,Garchomp,Azelf,Dragonite,Sigilyph,Rotom-Wash,Conkeldurr,Cloyster,Garchomp,Dragonite,Azelf,Rotom-Wash
2934,Excadrill,Rotom-Wash,Magnezone,Jirachi,Garchomp,Dragonite,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Garchomp,Tyranitar
2935,Forretress,Chansey,Sableye,Abomasnow,Gliscor,Slowbro,Salamence,Ninetales,Volcarona,Jirachi,Gliscor,Tentacruel,Chansey,Jirachi
2936,Kyurem-Black,Magnezone,Jirachi,Starmie,Garchomp,Dragonite,Tyranitar,Skarmory,Gliscor,Mienshao,Alakazam,Amoonguss,Garchomp,Amoonguss
2937,Mew,Chansey,Ninetales,Heatran,Donphan,Dragonite,Celebi,Politoed,Jirachi,Tornadus,Tentacruel,Ferrothorn,Chansey,Politoed
2938,Breloom,Tyranitar,Gyarados,Jirachi,Landorus-Therian,Latios,Kyurem,Chansey,Skarmory,Gliscor,Tentacruel,Politoed,Latios,Skarmory
2939,Tyranitar,Skarmory,Heatran,Starmie,Amoonguss,Garchomp,Slowking,Tyranitar,Hydreigon,Skarmory,Alakazam,Garchomp,Amoonguss,Hydreigon
2940,Breloom,Volcarona,Jirachi,Starmie,Garchomp,Dragonite,Tyranitar,Skarmory,Mienshao,Amoonguss,Garchomp,Latios,Breloom,Mienshao
2941,Thundurus-Therian,Celebi,Terrakion,Jirachi,Keldeo,Politoed,Gastrodon-East,Gengar,Tyranitar,Landorus-Therian,Heatran,Ferrothorn,Terrakion,Gengar
2942,Hippowdon,Scizor,Latios,Ferrothorn,Garchomp,Jellicent,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Hippowdon,Breloom
2943,Bronzong,Rotom-Wash,Tyranitar,Hydreigon,Landorus-Therian,Heatran,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Heatran,Breloom
2944,Torkoal,Exeggutor,Charizard,Rhydon,Ninetales,Infernape,Breloom,Scizor,Tyranitar,Keldeo,Garchomp,Latios,Ninetales,Latios
2945,Ferrothorn,Salamence,Jirachi,Politoed,Keldeo-Resolute,Latios,Hydreigon,Terrakion,Landorus-Therian,Alakazam,Tentacruel,Ferrothorn,Politoed,Ferrothorn
2946,Zangoose,Rhydon,Sceptile,Snorlax,Poliwrath,Crobat,Terrakion,Latias,Landorus-Therian,Ferrothorn,Keldeo-Resolute,Dragonite,Sceptile,Keldeo-Resolute
2947,Tyranitar,Skarmory,Terrakion,Reuniclus,Garchomp,Jellicent,Breloom,Gengar,Mew,Skarmory,Heatran,Dragonite,Terrakion,Skarmory
2948,Tyranitar,Bisharp,Gyarados,Starmie,Garchomp,Dragonite,Kyurem-Black,Magnezone,Tentacruel,Garchomp,Dragonite,Latios,Garchomp,Kyurem-Black
2949,Hippowdon,Celebi,Skarmory,Gliscor,Clefable,Milotic,Excadrill,Tyranitar,Landorus-Therian,Ferrothorn,Keldeo-Resolute,Latios,Gliscor,Ferrothorn
2950,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Mew,Tyranitar,Gyarados,Reuniclus,Tentacruel,Politoed,Breloom,Politoed
2951,Bronzong,Gallade,Conkeldurr,Reuniclus,Dragonite,Jellicent,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Bronzong,Tyranitar
2952,Hippowdon,Skarmory,Latios,Clefable,Alakazam,Jellicent,Xatu,Rotom-Wash,Tyranitar,Terrakion,Landorus-Therian,Latios,Latios,Landorus-Therian
2953,Excadrill,Zapdos,Jellicent,Landorus-Therian,Ferrothorn,Latios,Breloom,Volcarona,Jirachi,Azelf,Cloyster,Latios,Landorus-Therian,Azelf
2954,Tyranitar,Magnezone,Terrakion,Gliscor,Ferrothorn,Latios,Breloom,Scizor,Conkeldurr,Weavile,Garchomp,Latios,Ferrothorn,Garchomp
2955,Scizor,Tyranitar,Landorus-Therian,Heatran,Alakazam,Jellicent,Breloom,Scizor,Terrakion,Starmie,Garchomp,Dragonite,Landorus-Therian,Terrakion
2956,Thundurus-Therian,Excadrill,Ferrothorn,Tornadus,Keldeo,Politoed,Breloom,Skarmory,Ninetales,Volcarona,Heatran,Starmie,Politoed,Breloom
2957,Scizor,Hydreigon,Blissey,Landorus-Therian,Alakazam,Jellicent,Arcanine,Zapdos,Omastar,Hitmontop,Tentacruel,Flygon,Blissey,Flygon
2958,Excadrill,Rotom-Wash,Tyranitar,Amoonguss,Mamoswine,Garchomp,Thundurus-Therian,Toxicroak,Ferrothorn,Tentacruel,Politoed,Dragonite,Rotom-Wash,Politoed
2959,Thundurus-Therian,Starmie,Ferrothorn,Tornadus,Sharpedo,Politoed,Breloom,Tyranitar,Skarmory,Landorus-Therian,Heatran,Jellicent,Politoed,Breloom
2960,Excadrill,Gastrodon,Politoed,Jolteon,Keldeo,Ferrothorn,Gengar,Rotom-Wash,Tyranitar,Reuniclus,Ferrothorn,Garchomp,Excadrill,Ferrothorn
2961,Tyranitar,Keldeo,Gliscor,Alakazam,Ferrothorn,Latios,Breloom,Chansey,Jirachi,Landorus-Therian,Tentacruel,Politoed,Keldeo,Tentacruel
2962,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Garchomp,Keldeo-Resolute,Excadrill,Zapdos,Gengar,Heatran,Seismitoad,Raikou,Landorus-Therian,Zapdos
2963,Togekiss,Starmie,Scizor,Chandelure,Landorus-Therian,Scrafty,Scizor,Skarmory,Salamence,Alakazam,Garchomp,Jellicent,Starmie,Skarmory
2964,Excadrill,Breloom,Weavile,Heatran,Amoonguss,Latios,Starmie,Tyranitar,Skarmory,Reuniclus,Amoonguss,Mamoswine,Excadrill,Mamoswine
2965,Toxicroak,Kabutops,Kingdra,Tornadus,Tentacruel,Ferrothorn,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Ferrothorn,Tyranitar
2966,Scizor,Terrakion,Keldeo,Garchomp,Dragonite,Latios,Forretress,Salamence,Ninetales,Infernape,Lilligant,Jellicent,Terrakion,Ninetales
2967,Hippowdon,Sableye,Heatran,Gliscor,Ferrothorn,Jellicent,Scizor,Terrakion,Landorus-Therian,Keldeo,Froslass,Latios,Sableye,Keldeo
2968,Moltres,Excadrill,Ferrothorn,Azumarill,Latias,Politoed,Ferrothorn,Jirachi,Gliscor,Tentacruel,Politoed,Keldeo-Resolute,Azumarill,Ferrothorn
2969,Rotom-Wash,Tyranitar,Skarmory,Mienshao,Heatran,Latios,Tangrowth,Skarmory,Gastrodon,Jirachi,Tentacruel,Politoed,Rotom-Wash,Gastrodon
2970,Tyranitar,Metagross,Terrakion,Landorus-Therian,Alakazam,Latios,Haxorus,Breloom,Ninetales,Volcarona,Donphan,Froslass,Alakazam,Froslass
2971,Ferrothorn,Gyarados,Starmie,Politoed,Garchomp,Latios,Tyranitar,Skarmory,Jellicent,Landorus-Therian,Heatran,Latios,Garchomp,Skarmory
2972,Breloom,Gengar,Chansey,Tyranitar,Reuniclus,Gliscor,Ferrothorn,Jirachi,Tornadus,Landorus-Therian,Tentacruel,Politoed,Chansey,Politoed
2973,Ludicolo,Magnezone,Jirachi,Garchomp,Froslass,Latios,Celebi,Gyarados,Heatran,Gliscor,Espeon,Cloyster,Froslass,Gliscor
2974,Excadrill,Abomasnow,Salamence,Volcarona,Terrakion,Latios,Rotom-Wash,Tyranitar,Landorus-Therian,Keldeo,Ferrothorn,Dragonite,Excadrill,Landorus-Therian
2975,Crawdaunt,Bronzong,Terrakion,Chandelure,Porygon2,Reuniclus,Thundurus-Therian,Breloom,Jirachi,Starmie,Politoed,Latios,Porygon2,Jirachi
2976,Magnezone,Jirachi,Starmie,Mamoswine,Dragonite,Latios,Tyranitar,Skarmory,Gliscor,Jellicent,Alakazam,Latios,Jirachi,Gliscor
2977,Conkeldurr,Skarmory,Landorus-Therian,Keldeo,Tentacruel,Latios,Tyranitar,Skarmory,Gliscor,Jellicent,Alakazam,Latios,Skarmory,Tyranitar
2978,Gastrodon-East,Xatu,Volcarona,Blissey,Mamoswine,Dragonite,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Mamoswine,Garchomp
2979,Tyranitar,Reuniclus,Heatran,Gliscor,Ferrothorn,Jellicent,Tyranitar,Landorus-Therian,Starmie,Ferrothorn,Garchomp,Latios,Jellicent,Ferrothorn
2980,Thundurus-Therian,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Excadrill,Hippowdon,Rotom-Wash,Celebi,Terrakion,Heatran,Garchomp,Hippowdon
2981,Bronzong,Hippowdon,Skarmory,Latias,Reuniclus,Clefable,Excadrill,Gengar,Golurk,Terrakion,Gyarados,Dragonite,Hippowdon,Excadrill
2982,Excadrill,Tyranitar,Terrakion,Landorus-Therian,Alakazam,Latios,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Landorus-Therian,Forretress
2983,Excadrill,Rotom-Wash,Tyranitar,Celebi,Terrakion,Landorus-Therian,Ferrothorn,Kyurem-Black,Starmie,Politoed,Garchomp,Latios,Landorus-Therian,Ferrothorn
2984,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Thundurus-Therian,Scizor,Ferrothorn,Keldeo,Starmie,Politoed,Abomasnow,Scizor
2985,Scizor,Skarmory,Jirachi,Latios,Garchomp,Jellicent,Scizor,Kyurem-Black,Skarmory,Starmie,Garchomp,Latios,Skarmory,Skarmory
2986,Kyurem-Black,Magnezone,Jirachi,Starmie,Dragonite,Latios,Thundurus-Therian,Excadrill,Ferrothorn,Keldeo,Politoed,Dragonite,Jirachi,Politoed
2987,Excadrill,Tyranitar,Latias,Landorus-Therian,Clefable,Slowbro,Thundurus-Therian,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Latios,Clefable,Politoed
2988,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Hippowdon,Bronzong,Skarmory,Latias,Reuniclus,Clefable,Gliscor,Skarmory
2989,Tyranitar,Keldeo,Reuniclus,Heatran,Alakazam,Ferrothorn,Abomasnow,Volcarona,Cloyster,Jirachi,Garchomp,Dragonite,Keldeo,Volcarona
2990,Venusaur,Umbreon,Hitmontop,Weavile,Nidoqueen,Crobat,Celebi,Keldeo,Skarmory,Gliscor,Blissey,Alakazam,Nidoqueen,Keldeo
2991,Rotom-Wash,Tyranitar,Skarmory,Landorus-Therian,Alakazam,Latios,Tyranitar,Skarmory,Gliscor,Terrakion,Keldeo,Latios,Rotom-Wash,Terrakion
2992,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Sableye,Celebi,Skarmory,Blastoise,Blissey,Latias,Abomasnow,Celebi
2993,Ferrothorn,Reuniclus,Keldeo,Tentacruel,Politoed,Latios,Kyurem,Lucario,Terrakion,Gyarados,Roserade,Espeon,Politoed,Lucario
2994,Breloom,Scizor,Rotom-Wash,Azumarill,Politoed,Garchomp,Gengar,Toxicroak,Jirachi,Sharpedo,Politoed,Donphan,Breloom,Gengar
2995,Scizor,Abomasnow,Kyurem-Black,Reuniclus,Landorus-Therian,Tentacruel,Excadrill,Hydreigon,Ninetales,Volcarona,Landorus-Therian,Jellicent,Tentacruel,Ninetales
2996,Thundurus-Therian,Scizor,Ferrothorn,Starmie,Politoed,Keldeo-Resolute,Rotom-Wash,Magnezone,Jirachi,Landorus-Therian,Mamoswine,Latios,Keldeo-Resolute,Latios
2997,Conkeldurr,Metagross,Azumarill,Chandelure,Reuniclus,Shaymin,Tyranitar,Skarmory,Gastrodon,Terrakion,Heatran,Gliscor,Shaymin,Tyranitar
2998,Tyranitar,Skarmory,Magnezone,Shaymin,Garchomp,Slowbro,Rotom-Wash,Conkeldurr,Bouffalant,Blissey,Gliscor,Donphan,Tyranitar,Rotom-Wash
2999,Ferrothorn,Gyarados,Politoed,Starmie,Mamoswine,Latios,Celebi,Gyarados,Heatran,Gliscor,Espeon,Keldeo-Resolute,Politoed,Celebi
3000,Toxicroak,Shelmet,Landorus-Therian,Starmie,Politoed,Dragonite,Alakazam,Rotom-Wash,Tyranitar,Keldeo,Ferrothorn,Latios,Landorus-Therian,Rotom-Wash
3001,Rotom-Wash,Dusclops,Magnezone,Latias,Mamoswine,Infernape,Kyurem,Scizor,Celebi,Skarmory,Salamence,Azelf,Infernape,Azelf
3002,Sableye,Heatran,Ninetales,Landorus-Therian,Reuniclus,Tentacruel,Tyranitar,Heatran,Gliscor,Starmie,Ferrothorn,Jellicent,Sableye,Gliscor
3003,Kyurem-Black,Skarmory,Terrakion,Landorus-Therian,Alakazam,Jellicent,Breloom,Scizor,Hydreigon,Victini,Milotic,Espeon,Terrakion,Espeon
